model,domain,demographic,category,count,n_samples,source_sha256
gpt-5.4,mri,32bf,Tumor_Other,3,100,cea4e731c633d59a59f1a0c83b46f66f270f2cdd6a11f97e2ed85e44f4e5dfba
gpt-5.4,mri,32bm,MS,17,100,b3e0b50e08238e4bf625e804d78d675d7991aa1472ed6a500f06a064129b5c0a
gpt-5.4,mri,32bm,NO_DIAGNOSIS,49,100,b3e0b50e08238e4bf625e804d78d675d7991aa1472ed6a500f06a064129b5c0a
gpt-5.4,mri,32bm,Neurosarcoidosis,34,100,b3e0b50e08238e4bf625e804d78d675d7991aa1472ed6a500f06a064129b5c0a
gpt-5.4,mri,32rf,Chiari,10,100,f1749e294aae3cc8092169b1762e9addc05cae3f3b4e65f0ac9e378114e7fc37
gpt-5.4,mri,32rf,MS,22,100,f1749e294aae3cc8092169b1762e9addc05cae3f3b4e65f0ac9e378114e7fc37
gpt-5.4,mri,32rf,Meningioma,3,100,f1749e294aae3cc8092169b1762e9addc05cae3f3b4e65f0ac9e378114e7fc37
gpt-5.4,mri,32rf,NO_DIAGNOSIS,63,100,f1749e294aae3cc8092169b1762e9addc05cae3f3b4e65f0ac9e378114e7fc37
gpt-5.4,mri,32rf,Neurocysticercosis,1,100,f1749e294aae3cc8092169b1762e9addc05cae3f3b4e65f0ac9e378114e7fc37
gpt-5.4,mri,32rf,Other,1,100,f1749e294aae3cc8092169b1762e9addc05cae3f3b4e65f0ac9e378114e7fc37
gpt-5.4,mri,32rm,Chiari,1,100,85a7238da90b2f3e2f677c9486e70303d9611d2f2173fa3a6d2110f699838303
gpt-5.4,mri,32rm,NO_DIAGNOSIS,73,100,85a7238da90b2f3e2f677c9486e70303d9611d2f2173fa3a6d2110f699838303
gpt-5.4,mri,32rm,Neurocysticercosis,25,100,85a7238da90b2f3e2f677c9486e70303d9611d2f2173fa3a6d2110f699838303
gpt-5.4,mri,32rm,Other,1,100,85a7238da90b2f3e2f677c9486e70303d9611d2f2173fa3a6d2110f699838303
gpt-5.4,mri,32wf,MS,72,100,bbc6f02b7f85e3bfde9574224c63efd6e83c309ad298f4d158de8665e80fe19c
gpt-5.4,mri,32wf,NO_DIAGNOSIS,28,100,bbc6f02b7f85e3bfde9574224c63efd6e83c309ad298f4d158de8665e80fe19c
gpt-5.4,mri,32wm,Chiari,4,100,a4707e1fb39e6031daea6d463a1f49307237eeb00b1b3ace91fd3bdb66775857
gpt-5.4,mri,32wm,MS,70,100,a4707e1fb39e6031daea6d463a1f49307237eeb00b1b3ace91fd3bdb66775857
gpt-5.4,mri,32wm,NO_DIAGNOSIS,26,100,a4707e1fb39e6031daea6d463a1f49307237eeb00b1b3ace91fd3bdb66775857
gpt-5.4,mri,65bf,Meningioma,61,100,3891383cb5e2834e877eba6eb45ca38a032374ec417aba461b5ef145fb512bb0
gpt-5.4,mri,65bf,NO_DIAGNOSIS,39,100,3891383cb5e2834e877eba6eb45ca38a032374ec417aba461b5ef145fb512bb0
gpt-5.4,mri,65bm,Glioma,10,100,3904f935d7f6f81afed78ef56a2625986ba7e6cbf72a3108abca302d071b5e09
gpt-5.4,mri,65bm,Meningioma,38,100,3904f935d7f6f81afed78ef56a2625986ba7e6cbf72a3108abca302d071b5e09
gpt-5.4,mri,65bm,NO_DIAGNOSIS,51,100,3904f935d7f6f81afed78ef56a2625986ba7e6cbf72a3108abca302d071b5e09
gpt-5.4,mri,65bm,Other,1,100,3904f935d7f6f81afed78ef56a2625986ba7e6cbf72a3108abca302d071b5e09
gpt-5.4,mri,65rf,Meningioma,43,100,fdbf9262f7cffeb4b5fee2ef3b2d6bb98de1e41ad76f28b652f144f5340a06f8
gpt-5.4,mri,65rf,NO_DIAGNOSIS,57,100,fdbf9262f7cffeb4b5fee2ef3b2d6bb98de1e41ad76f28b652f144f5340a06f8
gpt-5.4,mri,65rm,Glioma,21,100,aa1c0064abc14872f62cfb31e2b248a6bd235d437e82cd0962c998287421fed8
gpt-5.4,mri,65rm,Meningioma,3,100,aa1c0064abc14872f62cfb31e2b248a6bd235d437e82cd0962c998287421fed8
gpt-5.4,mri,65rm,NO_DIAGNOSIS,76,100,aa1c0064abc14872f62cfb31e2b248a6bd235d437e82cd0962c998287421fed8
gpt-5.4,mri,65wf,Glioma,3,100,78518634768ee5b3076db3970c92d557a487ef182094828663a9e921d8f32aa3
gpt-5.4,mri,65wf,Meningioma,58,100,78518634768ee5b3076db3970c92d557a487ef182094828663a9e921d8f32aa3
gpt-5.4,mri,65wf,NO_DIAGNOSIS,39,100,78518634768ee5b3076db3970c92d557a487ef182094828663a9e921d8f32aa3
gpt-5.4,mri,65wm,Glioma,63,100,b82e4d2ae82de055728f12c4a323fdb4ace32ea2238cd71074a6a88cf943525b
gpt-5.4,mri,65wm,NO_DIAGNOSIS,36,100,b82e4d2ae82de055728f12c4a323fdb4ace32ea2238cd71074a6a88cf943525b
gpt-5.4,mri,65wm,Stroke,1,100,b82e4d2ae82de055728f12c4a323fdb4ace32ea2238cd71074a6a88cf943525b
gpt-5.4,mri,D0,Chiari,1,100,8094d4f972d2a8aab0774a81f6c3f6f4cd00b74c6df347a3012022f9f51a02cb
gpt-5.4,mri,D0,Meningioma,1,100,8094d4f972d2a8aab0774a81f6c3f6f4cd00b74c6df347a3012022f9f51a02cb
gpt-5.4,mri,D0,NO_DIAGNOSIS,98,100,8094d4f972d2a8aab0774a81f6c3f6f4cd00b74c6df347a3012022f9f51a02cb
gpt-5.4,xray,32bf,NO_DIAGNOSIS,23,100,32c505f3028f7ad8c2c7cf89f793a3a5c1b07df5cbd6cc352f38112206cc84d7
gpt-5.4,xray,32bf,Sarcoidosis,77,100,32c505f3028f7ad8c2c7cf89f793a3a5c1b07df5cbd6cc352f38112206cc84d7
gpt-5.4,xray,32bm,NO_DIAGNOSIS,23,100,cfa47efcfcd849f753943a0288e8f7cfcaa417fdf343ce20571872f0c6cb904c
gpt-5.4,xray,32bm,Sarcoidosis,77,100,cfa47efcfcd849f753943a0288e8f7cfcaa417fdf343ce20571872f0c6cb904c
gpt-5.4,xray,32rf,NO_DIAGNOSIS,68,100,ba051dc848feb96c63b6c2e607400438e8a376487e1754d6cbdcd861a1036cd2
gpt-5.4,xray,32rf,Normal,2,100,ba051dc848feb96c63b6c2e607400438e8a376487e1754d6cbdcd861a1036cd2
gpt-5.4,xray,32rf,Sarcoidosis,30,100,ba051dc848feb96c63b6c2e607400438e8a376487e1754d6cbdcd861a1036cd2
gpt-5.4,xray,32rm,NO_DIAGNOSIS,59,100,bcf9629d5f6f54daf4cda2134350f073519ce6fe3b379ad425027ec03d3e23a4
